title,author,doi,year,publication,search_venue,peer_reviewed
"Deep-water form of the devonshire cup coral Caryophyllia smithii var. clavus scacchi, 1835 (Anthozoa, Scleractinia, Caryophyllidae) in Irish waters, and a review of Caryophyllia species reported from the North East Atlantic","Quigley, DTG.; Churraidhin, SN; MacGabhann, D",,2017,Bulletin of the Irish Biogeographical Society,GBIF,T
N81 Tullow Footbridges Scheme & Associated Road Reconfiguration Works,Atkins Ireland,,2018,NA,GBIF,F
"iCollections methodology: workflow, results and lessons learned","Blagoderov, V ; Penn, M; Sadka, M; Hine,  A; Brooks,  S; Siebert,  DJ; Sleep, C; Cafferty, S; Cane, E; Martin, G; Toloni, F; Wing, P; Chainey, J; Duffell, L; Huxley, R; Ledger, S; McLaughlin, C; Mazzetta, G; Perera, J; Crowther, R; Douglas, L; Durant, J; Honey, M; Huertas, B; Howard, T; Carter, V; Albuquerque, S; Paterson, G; Kitching, IJ",,2017,Biodiversity Data Journal,GBIF,T
"Rose Coral Pentapora foliacea (Ellis & Solander, 1786) in Irish & UK waters","Quigley, DTG.; MacGabhann, D",NA,2017,Bulletin Porcupine Marine Natural History Society,GBIF,F
N4-N15 Sligo Urban Improvement Scheme,"Carroll, P",NA,2017,NA,GBIF,F
"Provision of information – for screening for appropriate assessment – proposed recreational project in Mount Carmel Park, Firhouse Road, Dublin 24","Cawley, S",NA,2017,NA,GBIF,F
Metadata of European Lake Fishes Dataset,"Mehner, T; Brucet, S; Argillier, C; Beklioglu, M; Ferreira, T; Hesthagen, T; Holmgren, K; Jeppesen, E; Kelly, F; Krause, T; Rask, M; Volta, P; Winfield, IJ; Podgornik, S",10.15504/fmj.2017.23,2017,Freshwater Metadata Journal,GBIF,T
Risk assessment of Gunnera tinctoria – submission for consideration of Union listing under EU IAS Regulation No. 1143/2014,"O’Rourke, E; O’Flynn, C",,2016,NA,GBIF,F
"The Stonefly (Plecoptera) of Ireland – distribution, life histories & ecology","Feeley, H; Baars, J; Kelly-Quinn, M",,2016,[book],GBIF,F
Shallow subtidal octocorals in an Irish marine reserve,"Trowbridge, CD; Little, C; Ferrenburg, LS; Resk, HM; Kachmarik, K; Plowman, CQ; Stirling, P; McAllen, R",10.1007/s12526-016-0450-0,2016,Marine Biodiversity,GBIF,T
"A further record of the marine Isopod Idotea metallica Bosc, 1802 in Irish waters and a review of the species’ habitats, trophic associations and ecology in NW European waters","Quigley, D; Hill, R",,2015,Bulletin of the Irish Biogeographical Society,GBIF,T
Nemerteans in an Irish marine reserve: Synopsis of current and historical records,"Trowbridge, C; Hiebert, L; Junoy, J; Little, C; Stirling, P; Dlouhy-Massengale, B; McAllen, R",10.1017/S1755267215001189,2015,Marine Biodiversity Records,GBIF,T
Phylogeographical analysis of two cold‐tolerant plants with disjunct Lusitanian distributions does not support in situ survival during the last glaciation,"Beatty, GE; Provan, J; Comes, H",10.1111/jbi.12371,2014,J. Biogeogr.,GBIF,T
Combining global climate and regional landscape models to improve prediction of invasion risk,"Kelly, R; Leach, K; Cameron, A; Maggs, CA; Reid, N; Fitzpatrick, M",10.1111/ddi.12194,2014,Diversity Distrib.,GBIF,T
The ‘dirty dozen’: socio‐economic factors amplify the invasion potential of 12 high‐risk aquatic invasive species in Great Britain and Ireland,"Gallardo, B; Aldridge, DC; Frid, C",10.1111/1365-2664.12079,2013,J Appl Ecol,GBIF,T
"Post‐glacial dispersal, rather than in situ glacial survival, best explains the disjunct distribution of the Lusitanian plant species Daboecia cantabrica (Ericaceae)","Beatty, GE; Provan, J; Comes, H",10.1111/j.1365-2699.2012.02789.x,2013,J. Biogeogr.,GBIF,T
Marine bioactivity in Irish waters,"Rae, M; Folch, H; Moniz, MBJ; Wolff, CW; McCormack, GP; Rindi, F; Johnson, MP",10.1007/s11101-012-9227-7,2013,Phytochem Rev,GBIF,T
British phenological records indicate high diversity and extinction rates among late-summer-flying pollinators,"Balfour, NJ; Ollerton, J; Castellanos, MC; Ratnieks, FLW",10.1016/j.biocon.2018.04.028,2018,Biological Conservation,GBIF,T
The future of the Wart-biter Bush Cricket in Kent,Species Recovery Trust,NA,2016,NA,GBIF,F
Urban warming favours C4 plants in temperate European cities,"Duffy, GA; Chown, SL",10.1111/1365-2745.12652,2016,J Ecol,GBIF,T
Quantifying the long-term decline of the West European hedgehog in England by subsampling citizen-science datasets,"Hof, AR; Bright, PW",10.1007/s10344-016-1013-1,2016,Eur J Wildl Res,GBIF,T
Barn owls display larger black feather spots in cooler regions of the British Isles,"Roulin, A; Randin, CF",10.1111/bij.12814,2016,Biological Journal of the Linnean Society,GBIF,T
Forward planning for Scottish gardens in the face of climate change,"Smart, C; Elliott, A",,2015,Sibbaldia: The Journal of Botanic Garden Horticulture,GBIF,T
Low global sensitivity of metabolic rate to temperature in calcified marine invertebrates,"Watson, S; Morley, SA; Bates, AE; Clark, MS; Day, RW; Lamare, M; Martin, SM; Southgate, PC; Tan, KS; Tyler, PA; Peck, LS",10.1007/s00442-013-2767-8,2014,Oecologia,GBIF,T
Geoglossum simile of North America and Europe: distribution of a widespread earth tongue species and designation of an epitype,"Hustad, VP; Kučera, V; Rybáriková, N; Lizoň, P; Gaisler, J; Baroni, TJ; Miller, AN",10.1007/s11557-014-0969-z,2014,Mycol Progress,GBIF,T
Predicting the Impact of Climate Change on Threatened Species in UK Waters,"Jones, MC; Dye, SR; Fernandes, JA; Frölicher, TL; Pinnegar, JK; Warren, R; Cheung, WWL",10.1371/journal.pone.0054216,2013,PLOS ONE,GBIF,T
The Effects of Sampling Bias and Model Complexity on the Predictive Performance of MaxEnt Species Distribution Models,"Syfert, MM; Smith, MJ; Coomes, DA",10.1371/journal.pone.0055158,2013,PLOS ONE,GBIF,T
How many marine aliens in Europe?,"Katsanevakis, S; Gatto, F; Zenetos, A; Cardoso, AC",10.3391/mbi.2013.4.1.05,2013,Management of Biological Invasions,GBIF,T
Applying distribution model projections for an uncertain future: the case of the Pacific oyster in UK waters,"Jones, MC; Dye, SR; Pinnegar, JK; Warren, R; Cheung, WWL",10.1002/aqc.2364,2013,Aquatic Conserv: Mar. Freshw. Ecosyst.,GBIF,T
Potential changes in benthic macrofaunal distributions from the English Channel simulated under climate change scenarios,"Rombouts, I; Beaugrand, G; Dauvin, J",10.1016/j.ecss.2011.12.026,2012,"Estuarine, Coastal and Shelf Science",GBIF,T
Biological Flora of the British Isles: Rosa spinosissima L,"Mayland‐Quellhorst, E; Föller, J; Wissemann, V",10.1111/j.1365-2745.2011.01950.x,2012,Journal of Ecology,GBIF,T
Biogeographical patterns of variation in Western European populations of the great green bush-cricket (Tettigonia viridissima; Orthoptera Tettigoniidae),"Cooper, EM; Lunt, PH; Ellis, JS; Knight, ME",10.1007/s10841-012-9525-9,2013,Journal of Insect Conservation,GBIF,T
Hydroclimatic and hydrochemical controls on Plecoptera diversity and distribution in northern freshwater ecosystems,"Kruitbos, LM; Tetzlaff, D; Soulsby, C; Buttle, J; Carey, SK; Laudon, H; McDonnell, J; McGuire, K; Seibert, J; Cunjak, R; Shanley, J",10.1007/s10750-012-1085-1,2012,Hydrobiologia,GBIF,T
How robust is the Australian Weed Risk Assessment protocol? A test using pine invasions in the Northern and Southern hemispheres,"McGregor, KF; Watt, MS; Hulme, PE; Duncan, RP",10.1007/s10530-011-0133-5,2012,Biol Invasions,GBIF,T
The Invasive Buddleja davidii (Butterfly Bush),"Tallent-Halsell, NG; Watt, MS",10.1007/s12229-009-9033-0,2009,Bot. Rev.,GBIF,T
